submission_id;age;bothShown;comments;correct;education;endTime;experiment_id;gender;identityIngroupResponse;identityOutgroupResponse;ingroupAgree;ingroupFirst;ingroupNorm;languages;outgroupDisagree;rating;response;startDate;startTime;timeSpent;topIssue;topIssueRating;trial_name;trial_number;understandingCheckResponse
2726;57;NA;;NA;;1629574061875;269;männlich;NA;NA;NA;NA;NA;Deutsch ;NA;NA;NA;Sat Aug 21 2021 21:27:21 GMT+0200 (CEST);1629574041702;0.33621666666666666;1;NA;issue_choice;1;NA
2726;57;NA;;NA;;1629574061875;269;männlich;NA;NA;NA;NA;NA;Deutsch ;NA;NA;NA;Sat Aug 21 2021 21:27:21 GMT+0200 (CEST);1629574041702;0.33621666666666666;NA;10;issue_rating;1;NA
2726;57;0;;NA;;1629574061875;269;männlich;NA;NA;NA;0;1;Deutsch ;NA;NA;3;Sat Aug 21 2021 21:27:21 GMT+0200 (CEST);1629574041702;0.33621666666666666;NA;NA;dilemma;1;NA
2726;57;NA;;NA;;1629574061875;269;männlich;NA;NA;NA;NA;NA;Deutsch ;NA;0;NA;Sat Aug 21 2021 21:27:21 GMT+0200 (CEST);1629574041702;0.33621666666666666;NA;NA;dilemma_rating;1;NA
2726;57;NA;;FALSE;;1629574061875;269;männlich;NA;NA;NA;NA;NA;Deutsch ;NA;NA;NA;Sat Aug 21 2021 21:27:21 GMT+0200 (CEST);1629574041702;0.33621666666666666;NA;NA;control;1;3
2726;57;NA;;NA;;1629574061875;269;männlich;6;2;1;NA;NA;Deutsch ;1;NA;NA;Sat Aug 21 2021 21:27:21 GMT+0200 (CEST);1629574041702;0.33621666666666666;NA;NA;group_identity;1;NA
2725;57;NA;Arbeite seit 30 Jahren in einem Beruf, der eigentlich  Hochschulabschluss erfordert;NA;Abitur;1629573809584;269;männlich;NA;NA;NA;NA;NA;Deutsch ;NA;NA;NA;Sat Aug 21 2021 21:21:50 GMT+0200 (CEST);1629573710389;1.65325;2;NA;issue_choice;1;NA
2725;57;NA;Arbeite seit 30 Jahren in einem Beruf, der eigentlich  Hochschulabschluss erfordert;NA;Abitur;1629573809584;269;männlich;NA;NA;NA;NA;NA;Deutsch ;NA;NA;NA;Sat Aug 21 2021 21:21:50 GMT+0200 (CEST);1629573710389;1.65325;NA;10;issue_rating;1;NA
2725;57;1;Arbeite seit 30 Jahren in einem Beruf, der eigentlich  Hochschulabschluss erfordert;NA;Abitur;1629573809584;269;männlich;NA;NA;NA;1;0;Deutsch ;NA;NA;4;Sat Aug 21 2021 21:21:50 GMT+0200 (CEST);1629573710389;1.65325;NA;NA;dilemma;1;NA
2725;57;NA;Arbeite seit 30 Jahren in einem Beruf, der eigentlich  Hochschulabschluss erfordert;NA;Abitur;1629573809584;269;männlich;NA;NA;NA;NA;NA;Deutsch ;NA;0;NA;Sat Aug 21 2021 21:21:50 GMT+0200 (CEST);1629573710389;1.65325;NA;NA;dilemma_rating;1;NA
2725;57;NA;Arbeite seit 30 Jahren in einem Beruf, der eigentlich  Hochschulabschluss erfordert;TRUE;Abitur;1629573809584;269;männlich;NA;NA;NA;NA;NA;Deutsch ;NA;NA;NA;Sat Aug 21 2021 21:21:50 GMT+0200 (CEST);1629573710389;1.65325;NA;NA;control;1;1
2725;57;NA;Arbeite seit 30 Jahren in einem Beruf, der eigentlich  Hochschulabschluss erfordert;NA;Abitur;1629573809584;269;männlich;4;4;0;NA;NA;Deutsch ;0;NA;NA;Sat Aug 21 2021 21:21:50 GMT+0200 (CEST);1629573710389;1.65325;NA;NA;group_identity;1;NA
2723;53;NA;;NA;Hochschulabschluss;1629570375208;269;weiblich;NA;NA;NA;NA;NA;Deutsch;NA;NA;NA;Sat Aug 21 2021 20:25:27 GMT+0200 (CEST);1629570327297;0.7985166666666667;7;NA;issue_choice;1;NA
2723;53;NA;;NA;Hochschulabschluss;1629570375208;269;weiblich;NA;NA;NA;NA;NA;Deutsch;NA;NA;NA;Sat Aug 21 2021 20:25:27 GMT+0200 (CEST);1629570327297;0.7985166666666667;NA;3;issue_rating;1;NA
